ra[deg]  dec[deg]  D[kpc]  Vlos[km/s]  PMRA[mas/yr]  PMDEC[mas/yr]
      290.316     -62.1589      97.6914      89.0646    -0.106020    -0.455038
      117.032     -76.7688      21.9917      166.004     0.786028     0.454557
      152.060     -5.74110      14.6901      108.879     -2.59014     -4.86945
      51.0127     -22.4476      19.4084      112.488      2.81835     -2.11684
      220.491     -60.7480      57.6799      312.439    -0.804679    -0.349458
      50.9450      66.1935      30.4173     -148.620     0.512347   -0.0569142
      72.5643     -63.3033      63.3184      154.728     0.455664     0.264745
      121.674     -6.37282      35.2416      106.520   -0.0870208     -1.92851
      358.579      4.48140      17.1737     -110.741   -0.0376908     -2.47143
      182.733      75.8160      40.0662     -109.577    -0.143245    -0.374831
      10.0303      19.2719      17.4661     -30.9211      1.89575    -0.395048
      151.192      27.4894      28.7869      264.176     0.355746     -2.70805
      206.846     -77.9561      8.16698      191.966     -2.27855     -2.59620
      187.414     -41.4746      4.19256      247.200      4.83268     -7.91764
      334.800      43.0712      64.4412     -52.0176   -0.0593201    -0.231780
      202.723      32.5942      56.3682     -71.2156    -0.406473     -1.60470
      147.419     -40.9904      15.3006      495.370    -0.358451     0.112684
      38.7141     -15.9713      14.1143      71.3937      2.27739     -2.74701
      317.950      23.1005      12.0127     -328.915     -3.18070     -3.22027
      108.911      10.7405      19.7875      18.9675      2.58987     -3.24209
      238.766     -29.6068      24.9108      204.451     -1.07123     -2.46615
      68.8395      8.28964      48.9572      78.3057     0.972247     -1.92303
      319.198     -14.2570      39.4899     -112.214     0.542187    -0.952010
      287.852      20.8909      5.18128     -264.050     -6.29755     -6.29901
      138.238      43.9356      17.8458     -25.2886    -0.898821     -1.88671
      228.022     -60.3137      21.8525      302.774     -2.20490    -0.761949
      247.370     -27.1444      34.2699      97.2081    -0.522789    -0.863450
      82.7802      42.7604      37.3493      13.5100     0.653697    -0.551618
      197.034      23.3854      80.0619     -70.5544    -0.635442    -0.183736
      353.058    -0.528449      43.6127     -158.639     0.210889     -1.01936
      54.1113     -48.0014      18.2459      210.522      5.34168    -0.282850
      196.326     -17.9236      49.2383      128.189    -0.558850     -1.07522
      113.442      20.9939      19.5317      57.5018    -0.304953     -3.86239
      127.555      41.5264      15.2621      20.7401    -0.884742     -4.07877
      302.502      56.1011      12.7890     -167.403      1.38987    -0.642214
      237.927      61.6492      50.0579     -316.078    -0.479385     0.169947
      318.244      13.3601      32.2663     -171.937    -0.742820    -0.813587
      320.409     -16.7742      22.8321      23.3616     0.229435     -3.37283
      189.411     -45.6012      64.0493      233.233    0.0475047    -0.178666
      217.771     -17.7524      40.4132      163.742     -1.15113    -0.179029
      223.127      65.4263      37.9121     -136.558    -0.723715     -1.19827
      179.994     -76.8190      19.7619      197.915     -1.37949    0.0105482
