# x[kpc] y[kpc] z[kpc] v_x[km/s] v_y[km/s] v_z[km/s]
 -22.0611   -8.2055    8.3243  -91.6063  181.4838   15.1128
 -21.7521    5.4808    2.0640   40.6206  -24.5920 -139.5490
  -0.7195   22.9925   15.8336  -60.7035  188.7389 -113.8638
 -22.0598  -15.0899   12.9371  -17.7864  -26.2271  136.1898
  -2.5415   -4.2696   -8.3334   -6.6417  127.1499  150.8719
 -20.2974    9.7258   10.3816  -68.0367  205.8310    7.3092
  30.6527   20.4988  -10.8223  -62.2875  -60.9536  -95.2187
  -8.7692   -9.8694  -19.3981  213.0774  319.8622  -82.8883
  -7.9395   -9.2313   -8.3355   93.6990   12.9185 -252.8418
  -5.6185  -10.5226    9.3755   32.7493  101.7416  -15.8682
  -6.4487   16.9051   -9.8419  116.8230 -108.9974   36.7545
  -6.4400    6.5222  -13.0399   12.1100  187.0406   57.3587
  -7.9450    4.9234   -4.2880   64.9033   20.5043   -3.5733
   9.6791   -1.5522  -10.7523   95.5875   77.9265   13.4100
 -11.0698   30.3098   33.0436   48.2417  -66.7476  -72.5767
  17.0552   -0.7681   -0.2230    5.1630   59.1129  -23.3005
  -2.9994    5.7965  -12.0029   78.3223  -17.2098   44.0439
  17.9242  -30.8914   59.9634 -105.5504   -4.5726    5.6087
  59.1576   66.5299  -28.5400 -130.8325   55.8620  -65.2207
 -44.3166   26.8978  -16.3229  348.9035 -113.7664  170.1379
  -0.7608    0.0081   -5.4195   26.0074   76.1573  -98.0784
   6.2263  -19.0567  -31.3363   68.8059  127.4781   46.0793
 -32.0174    6.2684   33.3110   58.7786  130.3492   69.2067
 -28.7207   24.9690  -20.2570  145.1238    4.4012 -124.3700
   1.6833  -26.2682    1.8113  119.0055 -101.5219  179.1031
 -24.3675   24.4130    4.8837  279.7810   79.1549   87.1245
 -10.1172    0.6170   -5.4830   93.5065   58.3775   -4.3175
  -9.0222  -17.5621    6.4866   21.8275   89.6766   34.7950
  -0.5321    0.0278   -7.5961  155.9673  -62.0957  141.9040
 -29.8351    5.8419  -14.4791   51.6449   74.2049    6.1213
  24.3796  -53.2016  -29.7380  -28.4028  -92.1956   16.6288
 -11.8097   -5.8457   16.9591  136.5815   85.4731   27.0796
   9.7900   14.7281  -39.4071   82.5341   -8.1968   25.7472
 -16.3791   15.8831   -9.4021  222.4171   97.7768    2.3786
  21.5726  -22.3140  -14.0882  153.3419  237.4961  -21.4161
  -2.8562   -1.6881    1.5517 -107.1391   69.2593 -188.4621
  -8.7348  -12.8851   11.1790   39.0547  188.5436  195.9347
  -5.4422   17.0001    1.1615  -78.4284   52.6059   68.7979
 -22.9989   -2.5446  -11.0861  -41.8564 -100.7111   57.3181
 -85.7011  -50.1924  -18.2290 -185.7795  -19.4856 -106.6426
 -56.4180   11.8113   -6.5513  -81.1364    7.0843 -191.5788
 -57.0815   17.3170   -0.4110 -166.0973 -222.1698  -35.9588
   0.6960  -26.1215   34.8084  104.9379  115.9853  210.3520
 -14.4332   -7.6675    6.7546   39.4607  -16.2183  -25.4646
 -20.1291  -27.9066  -19.3794   38.2470  156.1414 -162.2194
 -22.9146   14.2717  -13.1172  204.2297  147.8984 -107.5711
 -38.4744   46.0424   -8.3030  296.9651   63.6295   -4.2796
 -65.6988    4.1173   30.5460  -43.8689  148.8312   24.4474
 -14.6397   16.7054   -4.1641  119.9200   36.5653   73.0097
  -8.1030  -27.0608    1.6400  -20.2278  -13.7872  -50.4845
 -76.7597  -23.3717    4.5981   10.6786  104.9648  -45.2804
   8.5110  -11.2818   -6.0737  -16.5155   76.6481 -348.2134
  -8.8630    3.2268   -9.7040  192.7076  153.8731   26.6514
 -32.3885   -8.4468   10.4436  -79.6232  119.5626    6.4561
 -43.0789  -21.9736   12.0928 -163.4926  -21.7960   32.1062
