ra[deg]  dec[deg]  D[kpc]  Vlos[km/s]  PMRA[mas/yr]  PMDEC[mas/yr]
      339.172     -30.1886      17.9753      24.2509      1.57122     -4.08944
      238.694      54.2836      16.6560     -364.652     -2.47350     -1.73533
      246.402     -29.2022      102.630      34.7879    -0.355994    -0.761966
      291.575      7.42246      52.1081     -94.4873    -0.431779     0.178872
      99.0850      85.7158      15.4069     -157.435    -0.260139     -3.67744
      98.3025      31.3080      66.2384      109.190     0.113678    -0.305782
      236.681      14.0382      73.0588     -114.790     -1.23819   0.00184611
      357.128      81.9172      64.5579     -201.116      1.01583    -0.110917
      26.0871      34.1972      30.1875     -170.106      2.07516     -2.86723
      47.3865     -51.4888      16.5794     -4.72488      3.73324     0.378711
      305.975      33.2224      30.8261     -184.775     -1.28571    -0.567754
      7.43778      10.6278      13.1985      54.6743      1.58253     -5.35816
      94.4356     -46.5955      41.6102      147.444     0.834568     -1.02076
      330.501     -46.8312      9.51218     -123.492    0.0965642     -10.1788
      166.975     -71.8024      26.3925      189.745    -0.836285      1.82243
      125.946     -14.0256      17.9367      92.9437     0.204797     -2.00852
      345.297     -57.4011      94.6218      173.527     0.920907    -0.371136
      127.551     -83.2320      91.7828      305.030    -0.555413    0.0543616
      245.342     -30.3459      9.39560      73.1356     -5.92376     -4.28482
      298.276      9.56003      64.8324     -215.674     -1.22810    -0.181267
      71.6245      50.9014      13.9647     -49.8470      2.79418     -4.59715
      221.519     -29.5349      82.9258     -23.5537    -0.229360    -0.221114
      287.995     -3.66562      16.3953     -157.498     -2.75184     -3.74818
      321.574      10.5864      23.7263     -177.597    -0.923264    -0.533039
      308.434     -2.89717      28.2705     -106.776    -0.543874     -1.76927
      120.468      22.5034      16.8669      78.7189     0.959361     -3.71654
      146.871     -2.32863      19.9681      169.956    -0.758438     -3.11239
      349.538      12.4604      31.8205     -86.7822      1.02304    -0.778508
      18.6412      8.43681      27.7175      205.661     0.236323    -0.987870
      85.1591    -0.568010      27.1226      110.658    -0.413996     -1.24010
      262.049      76.7962      17.1008     -180.776     -2.83642      3.34502
      29.1077      46.4331      8.78716     -55.6641      3.13901     -3.95832
      289.519      20.5367      24.6893     -108.893     0.890473     -1.33597
      251.133     -61.5030      28.3449      34.2938     -1.26915     -1.96665
      217.337      9.89227      34.8836     -8.32693     -1.14550     -1.49747
      327.041     -55.4328      40.9089      22.4873      1.20836     -1.87417
      206.914      78.0559      60.1337     -242.593    -0.402844 -2.37260e-05
      214.649      9.18550      63.8159      61.6239    -0.436935     -1.06812
      70.6985      31.7968      15.1065     -155.075    -0.617425     -2.09726
      64.6226     -33.1679      22.2790      5.49889      3.06043     -1.51192
      181.118    -0.791688      16.6764      66.4436     -1.60239     -2.16250
      271.242      38.5461      14.7477     -8.07210     -2.37965     -4.37581
      179.506      31.8278      48.4241      182.479     -2.07351     -2.21062
      147.627     -14.9927      54.0030      10.2541    -0.758168    -0.475286
      297.579     -3.02541      59.2048     -131.374    -0.181220   -0.0681039
      162.567     -12.9915      18.0011      38.2079     -1.55472     -2.02339
      107.722     -9.09878      35.4502      261.332      1.65627  -0.00724050
      193.198     -3.06138      36.0114     -64.8865     -1.19716     -1.43913
      197.327      22.2520      29.4348      20.0316     -1.62187     -1.26533
      90.3184      37.0892      27.8701      89.8105    -0.112573     -1.80870
      84.5106     -65.4843      4.59631      130.111      10.3325    0.0801894
      317.062      19.2074      59.5881     -192.386     0.663546    -0.407738
      83.7172     -18.8497      95.1423      190.712     0.478636     -1.15111
      125.730      16.0224      15.4234      94.6669    -0.559749     -2.62206
      150.620      16.6307      11.5398     -2.11662     0.430255     -7.43229
      30.6891     -2.14151      25.9465      55.4845      2.12180     -2.17529
      295.463      5.20456      37.7810     -264.821    -0.938227     -1.46622
      128.421      11.3279      26.6138      222.655    -0.630101     -1.96493
      56.3526      26.2883      74.3302     -68.0632      1.31956    -0.990648
      86.7405     -3.77487      21.4751      208.076     0.804720    -0.378758
      256.783      52.6203      47.6016     -89.6787     0.634154    -0.573754
      100.596     -25.1428      20.2423      73.4168     0.729644     -1.49173
      106.011      21.3807      19.8871      293.846     0.582670     -3.42789
      101.906     -34.7336      20.3851      218.480   -0.0100507     0.417975
      229.221      41.6628      59.1932     -109.994    -0.675723     -1.21197
      226.474      26.0304      16.3266     -95.2035     -3.19922     -1.72778
      359.772      11.2344      17.4536     -168.535      3.11162     -3.10361
      172.160      61.3244      10.8637     -76.9191     -2.20764     -4.14219
     0.438971     -41.7748      42.2694      101.743     0.762164   -0.0345788
      129.036      22.6775      37.3549      324.690     0.160042     -1.10778
      281.711      6.91725      32.0199     -143.236    -0.216678     0.464273
      15.6024     -27.2640      9.75752      167.428      3.44915     -3.04776
      185.499     -28.6731      17.3237      358.414     -3.69610     0.376521
      248.522     -4.63928      33.9528     -102.158    0.0630693    -0.623869
      285.224      3.81988      65.4227      69.2125    -0.335193     -1.05251
      204.133     -6.78153      63.0492     -121.174    -0.851241    0.0255273
      180.631     -13.7507      20.1899      159.046     -1.23526     0.694793
      288.356     -33.7369      42.8742      112.609     -1.77759     -1.87489
      128.594      61.4527      19.9794     -180.834      2.74751     -2.48283
      66.2236     -37.2754      12.2932      221.543     0.527535     -3.90536
      293.570     -28.2799      8.05042     -63.5732      2.61440     -6.66542
      133.569     -30.8550      25.7068      51.1316    -0.939547     -1.29062
      301.622      19.1806      58.4985     -297.762     0.236464    -0.102543
      320.890      73.8276      47.8092     -319.818     -1.01793      1.01208
      214.447     -33.8539      23.9981      147.247     -1.99772     -1.73366
      298.639      39.8776      21.4699     -149.589    0.0203267    -0.382929
      317.204      34.1587      10.1742     -195.661      2.15858      3.15156
      1.80729      74.2532      38.6205     -269.267     0.356009    -0.586180
      355.751      56.4145      41.2809     -82.8283      1.31531   -0.0524201
      130.680      62.3970      15.5311     -66.5594      3.24334     -2.86910
      348.435      8.33011      18.5215     -82.0582      1.21116     -1.69167
      239.822    -0.927547      37.5048     -40.2683     0.366060    -0.301941
      209.259     -74.1564      41.4681      185.234     -1.19870    -0.791992
      278.880     -22.3185      77.4896      44.8473     -1.04968    -0.280233
      303.226      8.85325      23.3932     -300.531    -0.984278     -1.17187
      314.082      22.9239      31.2917     -64.6150    -0.528086     -1.07912
      309.842     -78.3086      29.1549      110.984      1.26960     -2.33998
      162.568     -41.0051      8.36040      230.973     -5.19683     -3.53209
      110.766     -10.2812      18.2944      261.676      1.08321     -4.88477
      280.046     -11.7603      35.3921     -57.4974    -0.166689     -2.74623
      175.844     -32.7745      25.3506      434.126     -1.27546   -0.0131221
      229.716     -33.4469      23.7718      87.1346   -0.0627894     -1.22476
      82.9096      72.6701      12.7983     -165.624      4.23529     -1.89128
      222.263     -63.4146      67.2553      127.332    -0.509583    -0.693092
      50.5782     -44.1277      24.5544      168.928      1.18441    -0.845454
      119.292     -1.15453      89.4565      137.089    -0.526347     -1.55422
      97.9619     -18.7461      6.41815      303.801     -1.37033     -7.66862
      278.602     -7.51282      55.3123     -207.467   -0.0771545    -0.267205
      17.2311     -13.9599      68.4873      94.7462     0.354054     -1.42779
      18.4244      69.5467      21.4574     -220.995      2.09058     0.635923
      246.128     -6.24672      68.6139     -8.31852     -1.30271     -1.34633
      20.7346     -45.8867      16.1387      16.4978      1.79512    -0.615427
      138.084      3.77161      20.4651      332.813     -1.43742     -2.21062
      236.810     -37.8703      94.7791      183.345   0.00453817    -0.864341
      64.0975     -21.7224      28.9497      112.832      1.04807    0.0538990
      346.368     -42.1243      35.6747     -24.1113      1.13495    -0.919885
      266.222      23.0800      12.0466     -131.233     -1.11707    -0.325685
      231.426      49.8572      77.9263     -199.942    -0.720589     0.114510
      73.6976     -80.3270      59.3484      194.121    -0.130687   -0.0942165
      156.173      24.2727      27.8490      133.551    -0.964994     -1.87832
      348.325      37.1721      60.0795     -170.518      1.32669    -0.511162
      43.7816     -33.8213      10.8323      59.4805      3.75567     -2.48026
      36.4541      39.3296      17.4006     -80.0685     0.822915     -2.38940
      257.385      37.5406      97.6807     -347.044     -1.83331    -0.368221
      173.915      28.8402      27.8683      224.275     -2.94798     -2.47987
      149.000     -22.2774      4.08078      172.823    0.0329974     -2.81784
      50.1809      68.5803      52.4855     -261.092    -0.451995    -0.662716
      80.1490      17.1938      52.7321     -28.6333      1.20335     -1.25117
      302.322     -15.1167      52.9573     -214.309    -0.285411    -0.615365
      163.267      48.6665      13.6234     -99.7468     -1.16888     -2.50219
      268.492     -42.2508      31.7336     -58.0495    -0.770567     -1.40259
      223.335      53.1914      20.6815     -313.821    -0.824274     0.352931
      297.190      58.1922      23.1453     -329.904     0.211164     0.617296
      343.055     -17.2280      47.3528     -90.9696     0.813339    -0.958403
      359.220     -5.69258      89.5875     -64.3656     0.887754     0.388854
      18.8742     -37.3439      46.3198      35.5386     0.922449     0.187770
      153.918      23.3657      79.1400     -49.8317    -0.753633     -1.04981
      32.3522     -3.47921      76.3640     -157.366     0.755790    -0.182899
      358.300      18.0212      38.7895     -313.256      1.45308    -0.244986
      153.975     -48.0171      19.6916      308.243     -1.11504   0.00545878
      22.7084     -15.6565      31.9211      47.2350     0.569659     -1.03824
      310.784      6.45666      6.71755     -105.408     -2.68085     -5.69591
      164.001      28.5564      53.8315      157.805    -0.406355    -0.689936
      355.227     -41.7934      83.1420      110.871     0.120969    -0.560487
      307.379     -23.9517      35.1348     -46.3596    -0.506345    -0.987370
      224.054     -41.6980      25.7887      111.188    -0.288357     -1.28990
      307.775      60.3407      66.4855     -313.468     0.148195     0.403892
      57.8443     -21.6691      6.44572      73.4333      8.69044      2.29271
      20.4859      64.8537      41.2790     -161.289     0.122217    -0.218613
      98.1427      5.36944      36.0060      161.977      1.48119    -0.645120
      227.569     -33.4941      21.8231      85.8342     -1.19972     -1.48814
      117.225      36.4492      15.3662      58.3508     -2.19850     -3.05964
      8.09421     -15.5837      17.9067     -51.3626      3.72432     -2.69537
      12.3500     -32.4220      33.5768      73.6607     0.794468    -0.611924
      227.770     -19.2260      16.4485      191.406     0.321320     -4.07277
      317.611      8.99830      16.7425     -205.527    -0.560509     -1.75284
      146.773      24.7546      10.7805      236.941     -1.84261    -0.993351
      257.641     -14.2520      8.41248     -78.2392     -5.26329     -6.91915
      142.064      70.6429      27.2732     -80.3285     -1.48001     -1.55058
      259.588     -23.4676      73.3939      92.8654    -0.601710     -1.19140
      135.071     -34.6994      73.0383      48.8651    -0.687147    -0.108196
